StudentID,Certification Course,Gender,Department,Weight(LBs),Height(in),11.0th GPA,12th GPA,College GPA,hobbies,"If Other, Please Specify",daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree  ,social media & video,Travelling Time ,Stress Level ,Financial Status,part-time job
192,No,Male,B.com ISM,77.1617,58.661449,3.3,3,3,Video Games,,1 - 2 Hour,Anytime,15000,Yes,100%,1 - 30 Minute,0 - 30 minutes,Good,good,No
193,No,Male,B.com ISM,132.2772,68.110273,2.7,2,2.7,Video Games,,1 - 2 Hour,Night,20000,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Bad,Bad,No
194,No,Female,B.com ISM,88.1848,58.661449,2.7,2.7,2.7,Cinema,,30 - 60 minute,Morning,15000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,good,No
195,Yes,Male,B.com ISM,121.2541,66.92917,2,2,2,Cinema,,30 - 60 minute,Night,10000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,good,Yes
196,No,Female,B.com ISM,85.98018,61.023655,1,1,2,Sports,,3 - 4 hour,Night,10,No,75%,30 - 60 Minute,30 - 60 minutes,fabulous,good,No
197,Yes,Male,B.com ISM,99.2079,60.236253,3,2,4,Cinema,,30 - 60 minute,Morning,30000,Yes,100%,1 - 30 Minute,30 - 60 minutes,Good,good,No
198,Yes,Male,B.com ISM,143.3003,66.92917,3.7,2.7,2.7,Cinema,,1 - 2 Hour,Morning,25000,Yes,75%,1 - 30 Minute,0 - 30 minutes,Good,good,No
199,No,Male,B.com ISM,165.3465,68.110273,2.7,2,2.3,Sports,,1 - 2 Hour,Anytime,20000,Yes,75%,1 - 30 Minute,1.30 - 2 hour,Bad,Bad,No
200,Yes,Male,B.com ISM,132.2772,66.92917,2,2,2,Reading books,,1 - 2 Hour,Anytime,50000,Yes,75%,More than 2 hour,1 - 1.30 hour,Bad,good,Yes
201,Yes,Male,B.com ISM,163.14188,47.24412,4,3.3,3.3,Cinema,,1 - 2 Hour,Anytime,15000,Yes,75%,More than 2 hour,30 - 60 minutes,Bad,Bad,Yes
202,Yes,Female,Commerce,149.91416,62.99216,4,4,4,Cinema,,3 - 4 hour,Morning,10000,Yes,75%,1.30 - 2 hour,0 - 30 minutes,Good,good,No
203,No,Male,Commerce,189.59732,55.11814,3.7,4,3.3,Cinema,,30 - 60 minute,Morning,15000,Yes,50%,More than 2 hour,30 - 60 minutes,Good,Bad,No
204,Yes,Male,Commerce,132.2772,64.960665,2.3,2,2.7,Sports,,0 - 30 minute,Morning,13000,Yes,50%,1 - 30 Minute,1 - 1.30 hour,Good,Bad,No
205,Yes,Male,Commerce,121.2541,63.385861,4,3.7,3.3,Sports,,30 - 60 minute,Morning,10000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Bad,Bad,No
206,Yes,Female,Commerce,85.98018,57.480346,4,4,4,Cinema,,1 - 2 Hour,Anytime,13000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,good,No
207,Yes,Male,Commerce,154.3234,61.023655,2.7,2.7,2.7,Sports,,2 - 3 hour,Night,15000,Yes,50%,More than 2 hour,1 - 1.30 hour,Good,good,Yes
208,No,Male,Commerce,176.3696,47.24412,4,4,3.3,Cinema,,30 - 60 minute,Night,20000,Yes,50%,More than 2 hour,0 - 30 minutes,Good,Fabulous,Yes
209,Yes,Male,Commerce,154.3234,62.99216,4,3.7,3.3,Video Games,,30 - 60 minute,Anytime,15000,Yes,75%,More than 2 hour,1 - 1.30 hour,Bad,Bad,Yes
210,Yes,Female,Commerce,70.54784,59.842552,4,2.7,3.3,Sports,,1 - 2 Hour,Night,15,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Bad,good,No
211,No,Male,Commerce,165.3465,66.141768,3.7,3,3.7,Cinema,,1 - 2 Hour,Morning,22,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No
212,Yes,Female,Commerce,141.09568,59.842552,4,4,4,Cinema,,1 - 2 Hour,Anytime,15000,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,No
213,No,Male,Commerce,99.2079,61.417356,4,3.7,3.3,Sports,,More Than 4 hour,Anytime,12000,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Good,Bad,Yes
214,Yes,Female,Commerce,121.2541,59.448851,4,4,4,Reading books,,1 - 2 Hour,Morning,15000,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Good,good,Yes
215,No,Female,Commerce,136.68644,64.960665,3.7,3.7,4,Sports,,2 - 3 hour,Anytime,15000,Yes,100%,30 - 60 Minute,0 - 30 minutes,Good,good,No
216,Yes,Female,Commerce,132.2772,62.99216,3.7,4,4,Cinema,,2 - 3 hour,Anytime,20000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
217,Yes,Female,Commerce,127.86796,60.236253,4,3.3,3.7,Cinema,,0 - 30 minute,Anytime,20000,Yes,75%,More than 2 hour,0 - 30 minutes,Awful,good,No
218,Yes,Male,Commerce,165.3465,68.897675,4,4,4,Sports,,30 - 60 minute,Morning,20000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Good,good,No
219,No,Male,Commerce,119.04948,63.385861,4,3.3,4,Cinema,,30 - 60 minute,Morning,20000,Yes,100%,30 - 60 Minute,more than 3 hour,Bad,Bad,No
220,Yes,Male,Commerce,132.2772,62.99216,4,4,4,Cinema,,30 - 60 minute,Anytime,20000,Yes,100%,1 - 30 Minute,30 - 60 minutes,Awful,Bad,No
221,Yes,Female,Commerce,99.2079,60.236253,4,3.3,3.7,Cinema,,0 - 30 minute,Morning,20000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,good,No
222,Yes,Male,Commerce,110.231,62.99216,4,4,2.7,Sports,,30 - 60 minute,Night,100,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No
223,Yes,Male,Commerce,143.3003,66.92917,4,3.3,4,Cinema,,0 - 30 minute,Anytime,16000,Yes,50%,1.30 - 2 hour,0 - 30 minutes,fabulous,Bad,No
224,Yes,Female,Commerce,143.3003,59.842552,4,4,4,Reading books,,3 - 4 hour,Morning,15000,Yes,100%,30 - 60 Minute,0 - 30 minutes,Good,good,Yes
225,Yes,Female,Commerce,94.79866,64.566964,4,4,4,Reading books,,2 - 3 hour,Morning,15000,Yes,100%,1 - 30 Minute,0 - 30 minutes,Good,good,No
226,Yes,Female,Commerce,143.3003,65.748067,4,4,4,Reading books,,1 - 2 Hour,Night,15000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
227,Yes,Male,B.com ISM,121.2541,65.748067,2.3,2.3,2.7,Sports,,30 - 60 minute,Anytime,17000,Yes,25%,0 Minute,0 - 30 minutes,Awful,Bad,No
228,Yes,Non-binary,B.com ISM,149.91416,61.023655,3.7,3.7,3,Sports,,1 - 2 Hour,Anytime,500,Yes,100%,1.30 - 2 hour,1 - 1.30 hour,Good,good,No
229,No,Female,B.com ISM,132.2772,60.236253,2.7,3.3,3.3,Sports,,1 - 2 Hour,Anytime,15000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No
230,Yes,Male,B.com ISM,167.55112,66.92917,3.3,3,3,Video Games,,30 - 60 minute,Morning,7000,Yes,50%,More than 2 hour,30 - 60 minutes,Bad,Bad,No
231,Yes,Non-binary,B.com ISM,114.64024,67.716572,3.3,3.3,3.7,Cinema,,2 - 3 hour,Anytime,25000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
232,Yes,Female,BCA,72.75246,54.724439,4,3.7,3.3,Cinema,,30 - 60 minute,Night,20000,Yes,50%,30 - 60 Minute,2.30 - 3 hour,Bad,good,No
233,Yes,Female,Commerce,127.86796,60.236253,4,3.3,3.7,Cinema,,0 - 30 minute,Anytime,20000,Yes,75%,More than 2 hour,2.30 - 3 hour,Awful,good,No
234,No,Female,B.com ISM,85.98018,61.023655,1,1,2,Sports,,3 - 4 hour,Night,10,No,75%,30 - 60 Minute,2.30 - 3 hour,fabulous,good,No
