StudentID,Certification Course,Gender,Department,Weight(LBs),Height(in),11.0th GPA,12th GPA,College GPA,hobbies,"If Other, Please Specify",daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree  ,social media & video,Travelling Time ,Stress Level ,Financial Status,part-time job
79,Yes,Male,BCA,132.2772,39.3701,4,3.3,3.3,Reading books,,30 - 60 minute,Anytime,18000,No,50%,30 - 60 Minute,2.30 - 3 hour,Awful,Awful,No
80,No,Female,BCA,114.64024,61.023655,1,3.7,3.7,Sports,,1 - 2 Hour,Night,12000,Yes,75%,1.30 - 2 hour,30 - 60 minutes,Good,Bad,No
81,Yes,Female,BCA,127.86796,61.417356,3.7,3.3,3.3,Cinema,,More Than 4 hour,Anytime,10000,Yes,75%,More than 2 hour,30 - 60 minutes,Good,good,No
82,Yes,Male,BCA,141.09568,41.732306,4,3.3,3.7,Sports,,0 - 30 minute,Morning,25000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Awful,Bad,No
83,Yes,Male,BCA,147.70954,66.92917,4,3,3.7,Cinema,,30 - 60 minute,Anytime,25000,No,100%,1.30 - 2 hour,0 - 30 minutes,Good,Awful,Yes
84,Yes,Male,BCA,132.2772,67.322871,3.7,2.3,3.3,Reading books,,3 - 4 hour,Anytime,21,Yes,100%,30 - 60 Minute,30 - 60 minutes,Awful,good,Yes
85,No,Male,BCA,165.3465,69.685077,2.7,2.7,2,Cinema,,30 - 60 minute,Morning,25000,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,No
86,Yes,Female,BCA,99.2079,66.92917,3.7,2.7,3.3,Cinema,,0 - 30 minute,Anytime,20000,No,25%,More than 2 hour,0 - 30 minutes,Good,good,No
87,Yes,Female,BCA,165.3465,70.86618,4,2.7,4,Video Games,,1 - 2 Hour,Anytime,35000,Yes,75%,More than 2 hour,0 - 30 minutes,Bad,good,No
88,Yes,Male,BCA,119.04948,68.503974,4,2.7,3.7,Sports,,30 - 60 minute,Night,20000,Yes,75%,30 - 60 Minute,2.30 - 3 hour,fabulous,Awful,No
89,No,Male,BCA,123.45872,67.716572,4,3,3.7,Sports,,0 - 30 minute,Morning,15000,Yes,75%,More than 2 hour,1 - 1.30 hour,Good,good,No
90,Yes,Female,BCA,110.231,60.236253,4,3.3,4,Cinema,,3 - 4 hour,Morning,18000,Yes,100%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No
91,Yes,Male,BCA,165.3465,62.204758,4,3.7,3.3,Sports,,2 - 3 hour,Night,20000,Yes,50%,1.30 - 2 hour,2 - 2.30 hour,Bad,good,No
92,No,Male,BCA,154.3234,69.685077,4,2.7,3.7,Reading books,,2 - 3 hour,Anytime,30000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Good,good,No
93,No,Male,BCA,143.3003,68.897675,3.7,3.3,1,Sports,,1 - 2 Hour,Morning,15000,No,50%,1 - 1.30 hour,30 - 60 minutes,Good,good,No
94,Yes,Male,BCA,154.3234,66.92917,4,3.3,3.3,Cinema,,3 - 4 hour,Night,50000,No,100%,More than 2 hour,more than 3 hour,Bad,good,Yes
95,Yes,Male,BCA,176.3696,70.86618,4,3.3,4,Sports,,30 - 60 minute,Morning,25000,Yes,100%,30 - 60 Minute,0 - 30 minutes,Good,good,No
96,Yes,Female,BCA,92.59404,1.7716545,4,4,4,Cinema,,30 - 60 minute,Anytime,20000,Yes,100%,1 - 1.30 hour,30 - 60 minutes,Good,Awful,No
97,Yes,Male,BCA,154.3234,66.92917,4,2.7,4,Sports,,2 - 3 hour,Night,25000,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,No
98,No,Male,BCA,182.98346,70.078778,4,2.7,4,Sports,,0 - 30 minute,Anytime,20000,Yes,75%,1.30 - 2 hour,0 - 30 minutes,Good,good,No
99,No,Male,BCA,147.70954,70.86618,4,3.3,2.7,Video Games,,0 - 30 minute,Anytime,10000,Yes,25%,1 - 30 Minute,0 - 30 minutes,Good,good,No
100,No,Female,BCA,105.82176,59.05515,3.7,2,3.7,Sports,,0 - 30 minute,Night,18000,Yes,50%,1 - 1.30 hour,0 - 30 minutes,Bad,Bad,No
101,Yes,Female,BCA,110.231,66.92917,4,3.7,4,Reading books,,2 - 3 hour,Anytime,25000,Yes,50%,1 - 1.30 hour,1.30 - 2 hour,Good,good,No
102,Yes,Female,BCA,143.3003,63.779562,4,4,4,Reading books,,1 - 2 Hour,Night,15000,Yes,50%,1.30 - 2 hour,30 - 60 minutes,Good,good,No
103,Yes,Male,BCA,143.3003,66.92917,4,2.7,4,Reading books,,30 - 60 minute,Anytime,20000,Yes,75%,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,No
104,Yes,Male,BCA,138.89106,60.236253,3.7,2.7,4,Sports,,1 - 2 Hour,Anytime,25000,Yes,75%,1.30 - 2 hour,1 - 1.30 hour,Good,Bad,No
105,No,Male,BCA,185.18808,64.960665,4,3.3,3.3,Cinema,,30 - 60 minute,Anytime,30000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Bad,Bad,No
106,No,Male,BCA,132.2772,64.173263,3.7,3.3,2.7,Video Games,,2 - 3 hour,Anytime,20000,Yes,75%,30 - 60 Minute,2 - 2.30 hour,Good,good,No
107,Yes,Male,BCA,176.3696,72.047283,4,2.7,3.3,Video Games,,0 - 30 minute,Anytime,10000,Yes,50%,1 - 30 Minute,0 - 30 minutes,Good,Bad,No
108,Yes,Male,BCA,187.3927,68.897675,4,2.3,3,Reading books,,1 - 2 Hour,Anytime,30000,Yes,100%,0 Minute,30 - 60 minutes,Good,Bad,No
109,Yes,Male,BCA,116.84486,61.417356,4,2.7,3.3,Sports,,0 - 30 minute,Morning,20000,Yes,50%,More than 2 hour,more than 3 hour,Good,Bad,No
110,Yes,Male,BCA,110.231,60.629954,4,3,3.3,Sports,,30 - 60 minute,Anytime,20000,Yes,100%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,Yes
111,Yes,Female,BCA,108.02638,67.716572,4,3,4,Cinema,,30 - 60 minute,Anytime,12000,Yes,50%,30 - 60 Minute,2 - 2.30 hour,Bad,good,No
112,Yes,Male,BCA,114.64024,61.023655,3,2,2,Cinema,,30 - 60 minute,Anytime,16000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,good,No
113,Yes,Male,BCA,158.73264,67.716572,4,2.7,4,Cinema,,0 - 30 minute,Morning,15000,No,75%,1 - 30 Minute,30 - 60 minutes,Bad,Bad,No
114,No,Male,BCA,132.2772,71.259881,4,4,4,Reading books,,1 - 2 Hour,Anytime,15000,No,50%,30 - 60 Minute,1.30 - 2 hour,Bad,Awful,Yes
