,id,latitude,longitude,avg_air_quality
0,6422.0,36.17143,-86.7357,1.7320776255707762
1,39870.0,36.12466,-86.81269,1.7320776255707762
2,59576.0,36.1894,-86.59162,1.7204337899543378
3,72906.0,36.13122,-86.80066,1.7320776255707762
4,258817.0,36.16076,-86.59151,1.7204337899543378
5,289242.0,36.16296,-86.59113,1.7204337899543378
6,329997.0,36.1758,-86.7995,1.7320776255707762
7,340081.0,36.16122,-86.59007,1.7204337899543378
8,395889.0,36.16499,-86.75054,1.7320776255707762
9,421290.0,36.1723,-86.7925,1.7320776255707762
10,430052.0,36.1723,-86.7925,1.7320776255707762
11,431258.0,36.1758,-86.7995,1.7320776255707762
12,513664.0,36.15606,-86.64991,1.7204337899543378
13,632636.0,36.1723,-86.7925,1.7320776255707762
14,637425.0,36.19236,-86.743,1.7320776255707762
15,645985.0,36.18523,-86.71385,1.7320776255707762
16,648088.0,36.1447,-86.79014,1.7320776255707762
17,674159.0,36.17393,-86.73894,1.7320776255707762
18,681880.0,36.21536,-86.71024,1.7320776255707762
19,859206.0,36.12999,-86.79959,1.7320776255707762
20,914787.0,36.17539978,-86.7818985,1.7320776255707762
21,980344.0,36.14462,-86.82847,1.7320776255707762
22,1006989.0,36.17502,-86.73475,1.7320776255707762
23,1009550.0,36.21239,-86.70439,1.7320776255707762
24,1209395.0,36.14867,-86.79611,1.7320776255707762
25,1300670.0,36.32249,-86.72652,1.6886986301369864
26,1537921.0,36.1676177978516,-86.73709869,1.7320776255707762
27,1546787.0,36.1299171447754,-86.79246521,1.7320776255707762
28,1550764.0,36.17231,-86.79252,1.7320776255707762
29,1557535.0,36.22621,-86.7103,1.7320776255707762
30,1583339.0,36.17833,-86.74426,1.7320776255707762
31,1583557.0,36.17833,-86.74426,1.7320776255707762
32,1587240.0,36.17868,-86.74394,1.7320776255707762
33,1625117.0,36.23198,-86.71693,1.7320776255707762
34,1640655.0,36.12397,-86.78047,1.7320776255707762
35,1661560.0,36.17622,-86.73512,1.7320776255707762
36,1793477.0,36.1986999511719,-86.70629883,1.7320776255707762
37,1840652.0,36.1766319274902,-86.80799103,1.7320776255707762
38,1951714.0,36.14549,-86.78686,1.7320776255707762
39,1954040.0,36.20338,-86.7296,1.7320776255707762
40,2083878.0,36.17069,-86.79121,1.7320776255707762
41,2138177.0,36.16107,-86.75256,1.7320776255707762
42,2181743.0,36.17035,-86.74017,1.7320776255707762
43,2261942.0,36.18269,-86.75301,1.7320776255707762
44,2288174.0,36.11209,-86.79666,1.7320776255707762
45,2316288.0,36.18628,-86.74254,1.7320776255707762
46,2372334.0,36.17833,-86.74426,1.7320776255707762
47,2396505.0,36.13541,-86.812656,1.7320776255707762
48,2473234.0,36.18034,-86.72588,1.7320776255707762
49,2479230.0,36.14377,-86.79486,1.7320776255707762
50,2521338.0,36.18934,-86.59118,1.7204337899543378
51,2581896.0,36.16922,-86.74108,1.7320776255707762
52,2666769.0,36.14705,-86.81845,1.7320776255707762
53,2694882.0,36.17032,-86.7408,1.7320776255707762
54,2699594.0,36.16046,-86.77774,1.7320776255707762
55,2710049.0,36.1631,-86.59044,1.7204337899543378
56,2726453.0,36.14077,-86.81479,1.7320776255707762
57,2743820.0,36.21896,-86.71519,1.7320776255707762
58,2802925.0,36.14704,-86.82269,1.7320776255707762
59,2824336.0,36.14992,-86.78832,1.7320776255707762
60,2906844.0,36.17739,-86.74131,1.7320776255707762
61,2908364.0,36.22061,-86.70683,1.7320776255707762
62,2909345.0,36.159898644709,-86.84270744,1.7320776255707762
63,2931998.0,36.17444,-86.73902,1.7320776255707762
64,2950152.0,36.14251,-86.79137,1.7320776255707762
65,3021231.0,36.12177,-86.7829,1.7320776255707762
66,3043332.0,36.1641,-86.68415,1.7204337899543378
67,3052313.0,36.12312,-86.80109,1.7320776255707762
68,3107569.0,36.19904,-86.76105,1.7320776255707762
69,3116713.0,36.18885,-86.5917,1.7204337899543378
70,3121821.0,36.18862,-86.73964,1.7320776255707762
71,3123909.0,36.18161,-86.79044,1.7320776255707762
72,3158038.0,36.13362,-86.78695,1.7320776255707762
73,3288576.0,36.12465,-86.7947,1.7320776255707762
74,3379848.0,36.1232,-86.70996,1.7320776255707762
75,3398939.0,36.17478,-86.78236,1.7320776255707762
76,3464176.0,36.17913,-86.76809,1.7320776255707762
77,3578360.0,36.16574,-86.74104,1.7320776255707762
78,3648549.0,36.10373,-86.79625,1.7320776255707762
79,3686152.0,36.12521,-86.78528,1.7320776255707762
80,3694888.0,36.14959,-86.78881,1.7320776255707762
81,3696753.0,36.17229,-86.75554,1.7320776255707762
82,3703925.0,36.14206,-86.82473,1.7320776255707762
83,3710914.0,36.18218,-86.77158,1.7320776255707762
84,3742359.0,36.16948,-86.73771,1.7320776255707762
85,3760928.0,36.19183,-86.7427,1.7320776255707762
86,3793659.0,36.17184,-86.79209,1.7320776255707762
87,3811909.0,36.18391,-86.72637,1.7320776255707762
88,3867817.0,36.12181,-86.84317,1.7320776255707762
89,3905148.0,36.1734771728516,-86.74029541,1.7320776255707762
90,3907104.0,36.175255,-86.75061,1.7320776255707762
